source,target,weight
Buckbeak,Rubeus Hagrid,52
Ronald Weasley,Salazar Slytherin,52
Oliver Wood,Ronald Weasley,51
Ronald Weasley,Xenophilius Lovegood,51
Harry Potter,Lee Jordan,51
Hermione Granger,Nymphadora Tonks,50
Filius Flitwick,Minerva McGonagall,50
Albus Dumbledore,Cedric Diggory,50
Argus Filch,Mrs Norris,50
Buckbeak,Sirius Black,49
Eileen Prince,Harry Potter,49
Alastor Moody,Rubeus Hagrid,49
James Potter I,Remus Lupin,48
Cassandra Trelawney,Dolores Umbridge,48
Fang,Ronald Weasley,48
Albus Dumbledore,Poppy Pomfrey,48
Firenze,Harry Potter,48
Charles Weasley,Ronald Weasley,48
Fleur Delacour,Hermione Granger,48
Molly Weasley,Rubeus Hagrid,47
Hedwig,Hermione Granger,46
Dean Thomas,Ginevra Weasley,46
Harry Potter,Pomona Sprout,45
Poppy Pomfrey,Ronald Weasley,45
Albus Dumbledore,Gellert Grindelwald,45
Albus Dumbledore,Rufus Scrimgeour,45
Pigwidgeon,Ronald Weasley,45
George Weasley,Lee Jordan,45
Barry Ryan,Bartemius Crouch Senior,44
Nymphadora Tonks,Ronald Weasley,44
Father Christmas,Hermione Granger,44
Hermione Granger,Phineas Nigellus Black,44
Hermione Granger,Poppy Pomfrey,44
Draco Malfoy,Ginevra Weasley,44
Myrtle Warren,Ronald Weasley,44
Firenze,Rubeus Hagrid,44
Dean Thomas,Hermione Granger,43
Argus Filch,Peeves,43
Albus Dumbledore,Vernon Dursley,43
Cornelius Fudge,Dolores Umbridge,43
Bellatrix Lestrange,Tom Riddle,42
Draco Malfoy,Fred Weasley,42
Albus Dumbledore,Lucius Malfoy,42
Blaise Zabini,Harry Potter,42
Draco Malfoy,George Weasley,42
Mark Evans,Severus Snape,41
Albus Dumbledore,William Weasley,41
Dean Thomas,Luna Lovegood,41
Bellatrix Lestrange,Hermione Granger,41
Hermione Granger,Myrtle Warren,41
Ronald Weasley,Winky,41
Horace Slughorn,Rubeus Hagrid,40
Draco Malfoy,Minerva McGonagall,40
Cedric Diggory,Fleur Delacour,40
Harry Potter,Helena Ravenclaw,40
